iter	Passed	Remaining
0	557	44080
1	791	30881
2	1251	32113
3	1589	30204
4	1891	28369
5	2249	27749
6	2467	25733
7	2673	24057
8	2914	22993
9	3135	21946
10	3354	21038
11	3631	20580
12	3872	19958
13	4083	19248
14	4306	18661
15	4586	18345
16	4791	17757
17	5031	17329
18	5218	16754
19	5456	16370
20	5728	16094
21	6021	15874
22	6267	15531
23	6564	15317
24	6828	15023
25	7101	14749
26	7356	14440
27	7681	14265
28	7940	13964
29	8183	13639
30	8478	13400
31	8774	13162
32	9044	12881
33	9291	12570
34	9608	12353
35	9866	12058
36	10146	11791
37	10408	11503
38	10708	11257
39	10973	10973
40	11239	10691
41	11555	10455
42	11823	10173
43	12128	9923
44	12392	9638
45	12680	9372
46	12924	9074
47	13197	8798
48	13454	8512
49	13759	8255
50	14028	7977
51	14290	7695
52	14634	7455
53	14895	7171
54	15160	6891
55	15412	6605
56	15714	6341
57	15974	6059
58	16234	5778
59	16477	5492
60	16786	5228
61	17039	4946
62	17291	4665
63	17533	4383
64	17830	4114
65	18089	3837
66	18346	3559
67	18639	3289
68	18899	3012
69	19165	2737
70	19420	2461
71	19719	2191
72	19976	1915
73	20231	1640
74	20471	1364
75	20787	1094
76	21063	820
77	21382	548
78	21709	274
79	21986	0
