iter	Passed	Remaining
0	134	134452
1	257	128557
2	381	126732
3	447	111331
4	504	100357
5	557	92294
6	605	85877
7	643	79813
8	678	74738
9	747	74017
10	788	70902
11	859	70793
12	906	68807
13	935	65905
14	1000	65687
15	1093	67274
16	1149	66488
17	1199	65442
18	1262	65210
19	1321	64739
20	1406	65591
21	1441	64100
22	1467	62325
23	1584	64441
24	1660	64774
25	1742	65288
26	1808	65163
27	1865	64771
28	1908	63917
29	1961	63414
30	2048	64043
31	2151	65069
32	2227	65269
33	2322	65988
34	2405	66331
35	2486	66575
36	2547	66299
37	2616	66242
38	2673	65866
39	2734	65624
40	2810	65745
41	2849	64997
42	2896	64467
43	2979	64741
44	3044	64612
45	3115	64608
46	3168	64245
47	3203	63542
48	3265	63367
49	3322	63122
50	3383	62953
51	3462	63118
52	3531	63107
53	3582	62754
54	3630	62382
55	3686	62152
56	3721	61563
57	3753	60955
58	3808	60735
59	3862	60511
60	3897	59992
61	3959	59902
62	4017	59757
63	4074	59590
64	4132	59444
65	4213	59634
66	4292	59773
67	4333	59392
68	4426	59722
69	4512	59945
70	4561	59679
71	4613	59461
72	4685	59496
73	4750	59443
74	4806	59280
75	4866	59165
76	4941	59231
77	5024	59387
78	5107	59540
79	5166	59417
80	5232	59370
81	5303	59375
82	5383	59478
83	5501	59997
84	5591	60192
85	5662	60185
86	5753	60378
87	5832	60441
88	5904	60435
89	5960	60271
90	6014	60080
91	6073	59944
92	6139	59876
93	6206	59818
94	6266	59698
95	6327	59579
96	6386	59449
97	6486	59703
98	6560	59709
99	6625	59625
100	6682	59480
101	6754	59464
102	6819	59387
103	6905	59490
104	6994	59616
105	7099	59880
106	7185	59969
107	7272	60061
108	7349	60078
109	7399	59871
110	7505	60114
111	7561	59955
112	7662	60144
113	7721	60013
114	7800	60030
115	7857	59881
116	7935	59886
117	7987	59701
118	8093	59918
119	8174	59946
120	8227	59770
121	8280	59595
122	8325	59364
123	8394	59303
124	8498	59486
125	8572	59463
126	8646	59434
127	8729	59468
128	8797	59402
129	8875	59395
130	8935	59277
131	8997	59167
132	9048	58983
133	9107	58861
134	9190	58885
135	9241	58710
136	9292	58533
137	9354	58432
138	9393	58183
139	9509	58416
140	9650	58795
141	9744	58877
142	9828	58903
143	9901	58860
144	9984	58877
145	10071	58910
146	10127	58766
147	10209	58771
148	10237	58468
149	10320	58484
150	10400	58478
151	10527	58732
152	10617	58776
153	10727	58931
154	10826	59022
155	10919	59077
156	11000	59065
157	11074	59016
158	11150	58978
159	11228	58950
160	11306	58920
161	11382	58878
162	11441	58751
163	11555	58903
164	11632	58865
165	11721	58892
166	11786	58793
167	11822	58551
168	11909	58562
169	11947	58331
170	12029	58317
171	12115	58322
172	12159	58126
173	12200	57919
174	12261	57805
175	12312	57642
176	12363	57486
177	12456	57522
178	12522	57433
179	12606	57430
180	12688	57415
181	12767	57385
182	12862	57423
183	12932	57352
184	13019	57356
185	13116	57403
186	13209	57429
187	13409	57918
188	13537	58091
189	13606	58004
190	13682	57952
191	13781	57995
192	13860	57956
193	13962	58008
194	14061	58046
195	14157	58075
196	14197	57869
197	14266	57787
198	14329	57678
199	14367	57469
200	14402	57251
201	14463	57139
202	14575	57226
203	14647	57154
204	14691	56975
205	14772	56938
206	14848	56882
207	14927	56839
208	14980	56696
209	15015	56487
210	15092	56434
211	15161	56353
212	15208	56194
213	15297	56186
214	15374	56133
215	15427	55994
216	15554	56126
217	15627	56058
218	15715	56045
219	15823	56101
220	15863	55915
221	15949	55894
222	16036	55877
223	16098	55769
224	16160	55665
225	16239	55615
226	16329	55606
227	16419	55595
228	16452	55392
229	16560	55442
230	16617	55318
231	16702	55290
232	16774	55219
233	16843	55138
234	16920	55082
235	16977	54961
236	17039	54858
237	17123	54825
238	17241	54899
239	17384	55049
240	17480	55052
241	17573	55044
242	17670	55046
243	17730	54934
244	17809	54881
245	17861	54745
246	17940	54693
247	17972	54497
248	18056	54459
249	18168	54506
250	18218	54365
251	18292	54295
252	18356	54197
253	18427	54122
254	18481	53996
255	18566	53958
256	18666	53966
257	18760	53953
258	18845	53917
259	18894	53777
260	18976	53729
261	19070	53718
262	19122	53587
263	19202	53532
264	19289	53499
265	19330	53339
266	19370	53178
267	19393	52969
268	19479	52933
269	19514	52762
270	19631	52810
271	19690	52701
272	19783	52683
273	19867	52642
274	19907	52483
275	19950	52335
276	20022	52261
277	20073	52132
278	20106	51960
279	20183	51899
280	20287	51910
281	20398	51937
282	20473	51870
283	20496	51673
284	20569	51603
285	20691	51657
286	20733	51509
287	20766	51339
288	20842	51277
289	20894	51154
290	20937	51012
291	21013	50949
292	21088	50884
293	21128	50738
294	21158	50565
295	21252	50546
296	21279	50369
297	21352	50299
298	21423	50227
299	21478	50117
300	21571	50094
301	21694	50141
302	21783	50108
303	21869	50070
304	21947	50012
305	22011	49922
306	22112	49915
307	22178	49830
308	22275	49812
309	22361	49772
310	22418	49667
311	22494	49602
312	22520	49429
313	22582	49336
314	22615	49180
315	22723	49186
316	22814	49155
317	22872	49053
318	22956	49007
319	23037	48953
320	23113	48891
321	23224	48902
322	23297	48830
323	23376	48772
324	23448	48700
325	23547	48683
326	23635	48644
327	23807	48777
328	23936	48818
329	24021	48770
330	24061	48632
331	24119	48529
332	24145	48363
333	24206	48267
334	24312	48261
335	24407	48234
336	24504	48208
337	24563	48109
338	24607	47980
339	24729	48004
340	24848	48021
341	24906	47920
342	24979	47846
343	25066	47802
344	25153	47755
345	25204	47640
346	25300	47612
347	25402	47593
348	25489	47547
349	25561	47470
350	25633	47395
351	25754	47410
352	25854	47388
353	25928	47314
354	26044	47320
355	26101	47217
356	26174	47144
357	26281	47129
358	26346	47041
359	26417	46964
360	26504	46915
361	26589	46862
362	26676	46813
363	26789	46807
364	26857	46724
365	26945	46676
366	27030	46622
367	27082	46511
368	27197	46508
369	27308	46498
370	27373	46409
371	27466	46367
372	27549	46309
