iter	Logloss
0	0.4245215658
1	0.3161212703
2	0.2636066279
3	0.233293328
4	0.2160663206
5	0.2001094079
6	0.1917910481
7	0.1850451438
8	0.1824714206
9	0.1802911081
10	0.1776924814
11	0.1758403378
12	0.1742832298
13	0.1735213711
14	0.1729052513
15	0.1725059004
16	0.1722001471
17	0.1717065107
18	0.1708572604
19	0.1705973204
20	0.1702437046
21	0.1696110074
22	0.1693169836
23	0.1691506065
24	0.1689790029
25	0.1682355597
26	0.1680418912
27	0.1677313277
28	0.1674331208
29	0.1672458597
30	0.1666884523
31	0.1664845915
32	0.1662850177
33	0.1661247164
34	0.1658910625
35	0.165785069
36	0.1655637128
37	0.1654307277
38	0.1653562003
39	0.1650166198
