iter	Logloss_SumError	Logloss_SumWeight
0	13911.54768	32769
1	10347.60622	32769
2	8614.18096	32769
3	7576.40239	32769
4	6929.634766	32769
5	6049.576291	32769
6	5557.567283	32769
7	5155.882424	32769
8	4945.689514	32769
9	4759.500874	32769
10	4599.256215	32769
11	4435.31298	32769
12	4339.870182	32769
13	4262.11134	32769
14	4226.813237	32769
15	4200.828337	32769
16	4182.782366	32769
17	4165.152162	32769
18	4131.459587	32769
19	4124.872159	32769
20	4115.595491	32769
21	4076.262921	32769
22	4014.066144	32769
23	4019.623057	32769
24	4014.706005	32769
25	3986.445688	32769
26	3980.193534	32769
27	3959.072739	32769
28	3953.291312	32769
29	3959.90415	32769
30	3934.755815	32769
31	3927.897064	32769
32	3924.131118	32769
33	3912.803383	32769
34	3915.175882	32769
35	3920.25669	32769
36	3916.709957	32769
37	3926.643769	32769
38	3924.034646	32769
39	3919.587645	32769
